Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
LG,"LG 8 Kg 5 Star Inverter TurboDrum Fully Automatic Top Loading Washing Machine (T80SKSF1Z, Waterfall Circulation, Digital Display, Middle Free Silver)","₹18,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYzMTU5ODgyODU1MTA2OjE3MTMyNjY5MzI6c3BfYXRmOjIwMTI2ODg4ODM3Njk4OjowOjo&url=%2FLG-Inverter-Fully-Automatic-T80SKSF1Z-Turbodrum%2Fdp%2FB0BF5RGZ8V%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%2Bfully%2Bautomatic%26qid%3D1713266932%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
LG,"LG 7 Kg 5 Star Inverter Touch panel Fully-Automatic Front Load Washing Machine with In-Built Heater (FHM1207SDM, Middle Black, Steam for Hygiene Wash)","₹28,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYzMTU5ODgyODU1MTA2OjE3MTMyNjY5MzI6c3BfYXRmOjIwMTI2ODg4ODM5Mjk4OjowOjo&url=%2FLG-Inverter-Fully-Automatic-Washing-FHM1207SDM%2Fdp%2FB0BMGD9Y2X%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%2Bfully%2Bautomatic%26qid%3D1713266932%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
LG,"LG 6.5 Kg 5 Star Inverter Turbodrum Fully Automatic Top Loading Washing Machine (T65SKSF4Z, 3 Smart Motion, Tub Clean, Middle Free Silver)","₹16,490",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-T65SKSF4Z/dp/B084LF24Z8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-3
LG,"LG 6.5 Kg 5 Star Inverter Direct Drive Fully Automatic Front Load Washing Machine Appliance (FHM1065SDW, Steam Wash, In-Built Heater, Touch Panel, White)","₹24,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/LG-Inverter-Fully-Automatic-FHM1065SDW-Technology/dp/B09Q94H46F/ref=sr_1_4?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-4
Whirlpool,"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6 GENX, Grey, ZPF Technology)","₹13,790",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Whirlpool-Fully-Automatic-Loading-WHITEMAGIC-Technology/dp/B0C3MHB63Q/ref=sr_1_5?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-5
Whirlpool,"Whirlpool 8 Kg Steam Technology Inverter Front Load Washing Machine with In-Built Heater (XS8014BYM52E, MidNight Grey, 100+ Tough Stains, 6th Sense Soft Move, 2024 Model)","₹32,990",-,"FREE delivery by Thu, 18 Apr, 7:00 am - 3:00 pm",Available,https://aax-eu.amazon.in/x/c/RIIiAep73SDOrVSc6L19GBEAAAGO5qq8SQMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDIPc-E/https://www.amazon.in/Whirlpool-Technology-Inverter-XS8014BYM52E-MidNight/dp/B0CVX9XD11/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.e6c39f44-ac79-4da2-8eb5-110abccd93e3%3Aamzn1.sym.e6c39f44-ac79-4da2-8eb5-110abccd93e3&cv_ct_cx=washing+machine+fully+automatic&dib=eyJ2IjoiMSJ9.X-hgL22EroAt0h0uumLw2A.tgYXfuYX_8qSsGZ0epbeYmLX0_SAGPePOLzV6E9hNtc&dib_tag=se&keywords=washing+machine+fully+automatic&pd_rd_i=B0CVX9XD11&pd_rd_r=9bef28dd-2f2b-4b2a-b1aa-afb0b0f3250c&pd_rd_w=V15rm&pd_rd_wg=t9UGn&pf_rd_p=e6c39f44-ac79-4da2-8eb5-110abccd93e3&pf_rd_r=QEAY9M6F5855MCR06452&qid=1713266932&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351
Samsung,"Samsung 7 kg Fully-Automatic Top Loading Washing Machine (WA70A4002GS/TL, Imperial Silver, Awarded as Washing Machine Brand of the year )","₹15,690",-,"FREE delivery as soon as Fri, 19 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Samsung-Fully-Automatic-WA70A4002GS-TL-Imperial/dp/B08GXYZFNB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-6
Whirlpool,"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash, ZPF Technology)","₹15,390",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Whirlpool-Fully-Automatic-WHITEMAGIC-ROYAL-7-0/dp/B08QP41KBP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-7
Samsung,"Samsung 7 kg, Eco Bubble Techn, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA70BG4441YYTL, Lavender Gray, Awarded as Washing Machine Brand of the year)","₹17,990",-,"FREE delivery as soon as Fri, 19 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA70BG4441YYTL-Technology/dp/B0B8NHX62W/ref=sr_1_8?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-8
Godrej,"Godrej 7 Kg 5 Star I-Wash Technology Fully Automatic Top Load Washing Machine (WTEON 700 5.0 AP GPGR, Graphite Grey, With Toughened Glass Lid)","₹13,490",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Godrej-WTEON-700-5-0-GPGR/dp/B0B2Q1QJ12/ref=sr_1_9?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-9
