Brand Name,Smartphone name,Colour,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,Product URl
SAMSUNG,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 256 GB)  (8 GB RAM)",Cobalt Violet,8 GB RAM , 256 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,4000 mAh Battery,"₹79,999",https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itme4c78903b0c9f?pid=MOBGX2F3GNSJZ23R&lid=LSTMOBGX2F3GNSJZ23REJ6ZQ8&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3GNSJZ23R.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24 5G (Onyx Black, 256 GB)  (8 GB RAM)",Onyx Black,8 GB RAM , 256 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,4000 mAh Battery,"₹79,999",https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-256-gb/p/itm0456c01739016?pid=MOBGX2F3ZUBMWBGP&lid=LSTMOBGX2F3ZUBMWBGPME7BYW&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3ZUBMWBGP.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)  (12 GB RAM)",Cobalt Violet,12 GB RAM , 256 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,17.02 cm (6.7 inch) Quad HD+ Display,4900 mAh Battery,"₹99,999",https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itm46fc37ddc7255?pid=MOBGX2F3GDX7QYFT&lid=LSTMOBGX2F3GDX7QYFTDDMJ7Z&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3GDX7QYFT.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)  (12 GB RAM)",Onyx Black,12 GB RAM , 256 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,17.02 cm (6.7 inch) Quad HD+ Display,4900 mAh Battery,"₹99,999",https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-256-gb/p/itm325da4a26d7bb?pid=MOBGX2F3HVJYNHUV&lid=LSTMOBGX2F3HVJYNHUVP4L3WU&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3HVJYNHUV.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 512 GB)  (8 GB RAM)",Cobalt Violet,8 GB RAM , 512 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,4000 mAh Battery,"₹89,999",https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-512-gb/p/itm0d5ed926087c7?pid=MOBGX2F3V52SBYMZ&lid=LSTMOBGX2F3V52SBYMZKEWTB0&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3V52SBYMZ.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24 5G (Amber Yellow, 256 GB)  (8 GB RAM)",Amber Yellow,8 GB RAM , 256 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,4000 mAh Battery,"₹79,999",https://www.flipkart.com/samsung-galaxy-s24-5g-amber-yellow-256-gb/p/itmebc700bb8d159?pid=MOBGX2F3TYAVSQJC&lid=LSTMOBGX2F3TYAVSQJCZEHPSQ&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3TYAVSQJC.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24 5G (Onyx Black, 512 GB)  (8 GB RAM)",Onyx Black,8 GB RAM , 512 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,4000 mAh Battery,"₹89,999",https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-512-gb/p/itm210a5a47ed251?pid=MOBGX2F3FEUH6PKS&lid=LSTMOBGX2F3FEUH6PKSNYKMCU&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3FEUH6PKS.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24 5G (Amber Yellow, 512 GB)  (8 GB RAM)",Amber Yellow,8 GB RAM , 512 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,4000 mAh Battery,"₹89,999",https://www.flipkart.com/samsung-galaxy-s24-5g-amber-yellow-512-gb/p/itm6225fa9b0990b?pid=MOBGX2F3VFMYCHCX&lid=LSTMOBGX2F3VFMYCHCXJQ83UW&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3VFMYCHCX.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 512 GB)  (12 GB RAM)",Onyx Black,12 GB RAM , 512 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,17.02 cm (6.7 inch) Quad HD+ Display,4900 mAh Battery,"₹1,09,999",https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-512-gb/p/itme2d93d42550ad?pid=MOBGX2F3YAZ6MRCQ&lid=LSTMOBGX2F3YAZ6MRCQFU5NRH&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3YAZ6MRCQ.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
SAMSUNG,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 512 GB)  (12 GB RAM)",Cobalt Violet,12 GB RAM , 512 GB ROM,50MP + 10MP + 12MP , 12MP Front Camera,17.02 cm (6.7 inch) Quad HD+ Display,4900 mAh Battery,"₹1,09,999",https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-512-gb/p/itmdbe5ac49590db?pid=MOBGX2F3SN4R8GHF&lid=LSTMOBGX2F3SN4R8GHFUVLXKX&marketplace=FLIPKART&q=Samsung+Galaxy+S24&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=01c645ff-97f6-4aa6-bc70-ee377ba77257.MOBGX2F3SN4R8GHF.SEARCH&ppt=hp&ppn=homepage&ssid=4dvp4ef84g0000001713775733652&qH=562156a97eea0cf1
