YouTube Comments,upvotes,Comment Date
"Be honest, this isn’t your first time watching this...",26K,3 years ago (edited)
The man who turns a live broadcast into highlights lol,21K,5 years ago
"Every goal was better than the one before
1st goal - Short & Low kick
2nd goal - Long & Low kick
3rd goal - Curve & High kick
4th goal  Volley kick
5th goal  Semi-bicycle kick",485,8 months ago
it feels so weird to watch Bayern without Robert now,916,1 year ago
"Imagine being 1 goal down and you gotta go to the toilet, you come back 9 minute later and u missed 5 goals",36K,6 years ago
It's culture of every football fan to watch this 10minutes clip once in awhile,11K,2 years ago
"That fifth goal, goosebumps ""you just can not be that good"" ",503,1 year ago
The fact that the greatest coach in history can't believe what Lewandowski has done tells you how great of a moment it was,2.5K,2 years ago
"I like how the stadium announcer didn't even finish announcing Lewy's first goal, and he scored again lol",2.9K,7 years ago
"3 goals - hatrick
5goals- lewtrick",4.2K,2 years ago
"Exactly 7 years ago today:

 ➤ Fastest hat-trick in history (4 minutes).
 ➤ Fastest poker ever (6 minutes).
 ➤ Fastest repoker in history (9 minutes).
 ➤ Player who, coming off the bench, scored 5 goals in the same game.

 LEWANGOLSKI IN ITS PURE STATE.",718,1 year ago
"Lewandowski is honestly one of the best players of the current time, it still pokes me how he didn't get his well deserved ballon d'or in 2020.",271,1 year ago
It becomes even more impressive when you realize that at least 3 minutes out of 9 was goal celebration.,10K,2 years ago
The football record that no one will ever break,427,1 year ago
"The fifth goal is simply insane, what an amazing striker is Lewandoski.",102,10 months ago (edited)
"When you’re losing in FIFA, and get your older brother to play for you.",23K,6 years ago
This is the most epic thing I've ever seen in football.,493,7 years ago
"this is going to be a record hard to beat, it's amazing to see Lewy like that",393,1 year ago
The true winner of Ballon d’Or 2021 ,63,2 years ago
It took three goals before I realized they weren’t cutting.,6.7K,2 years ago
"Lewandowski in the Interview-
Well I was benched in the starting of the game and I took that personally",5.5K,3 years ago
"Hands down, the greatest substitute performance in the history of professional football. This record will most likely never be broken.",13,7 months ago
legend says Dante is still trying to boost the morale of the team,3.8K,4 years ago
"LEWANDOWSKI GOES FOR IT AGAIN! OH HE JUST CANT DO IT! YOU JUST CANNOT BE THAT GOOD~ 
Best ecstatic moment",1.9K,7 years ago
"Probably one of the hardest record, if ever, someone capable of breaking sometime in the future... It's literally once in a lifetime achievement",15,1 month ago
"I remember this day as if it was yesterday. I was a freshman at university and watched the first half at the library. In the break I decided to go home. Back then I was living around 20 min from the library. When I got home my stream was still loading so I browsed Facebook on my phone and started to see various memes and initially had no idea what was going on. Apparently in the couple of minutes I was away Lewandowski scored 5 goals. Tbh back then I was a poor student, young, no job or car or money on my bank account but that was one of my happiest moments ever. I think I'll carry this memory with me to the afterlife. It was a miracle indeed.",29,1 year ago
Best striker in the world.,1.4K,7 years ago
All the people that disliked are either Wolfsburg fans or just don't understand how impressive this is,4.6K,3 years ago
"Everything in this video is perfect, the length, the commentator, the miracle itself is just incredible,  I honestly can't get enough of this video!",166,1 year ago
I remember watching it live and I couldn’t believe it. Absolute legend,61,1 year ago
Guardiola's reaction after fifth goal is pure awesomeness. Robert impressed the guy who trained Messi.,8.9K,3 years ago
This has to be one of the best performances by an individual player in football history.,3K,4 years ago
"Why? Every time i watch this Lewandowski 's 5th goal. I experienced a fast heart beat, teary eyes and running watery nose. . ",20,3 months ago
One of the most incredible moment in football's history thanks Robert,126,1 year ago
It's awesome not only because he has scored 5 goals in 9 minutes but also who against he did it. Wolfsburg was runner-up that season + Lewandowski came on the pitch in the second half. This achievement will be remembered for a long time as it's almost impossible to beat it.,2.3K,7 years ago
came to pay annual tribute to this holy video,2.8K,5 years ago
"Pep’s reaction to that 5th goal lmao, disbelief",46,1 year ago
"This guy is pure goal mashine.
Welcome to Fcbarcelona ",56,1 year ago
He literally scored five goals and mic dropped. Legend.,2.5K,3 years ago
"9:33 Robert's performance was so good, Guardiola thought he had hair",4K,2 years ago
I know people are still watching this once in a while ,24,1 year ago
I remember watching this game live a litlle bit disapointed Robert did not get full 90 minutes and hyped when he was changed off the bench. The rest is history.,31,1 year ago
"Doctor:""You Only Got 10 Minutes To Live""
Bayern munchen's Fan:",3.1K,4 years ago
"5 goals in 8 minutes, 59 seconds. Legend.",4.4K,3 years ago (edited)
"This 3rd goal was the most ""Lewandowski style"". He's a pusher, he goes forward no matter what. He just wants to push the ball into the net. It doesn't has to look beutiful, it doesn't has to be a ""teamwork goal"" it just suppose to be effective.",52,1 year ago
Wróciłem żeby zapomnieć o ostatnich meczach naszej reprezentacji..,117,7 months ago
Fucking legend.,591,7 years ago
"-""You just can not be THAT good""
-Lewandowski: ""Yes I can""",796,7 years ago
Each goal was better than the previous one.,9,2 years ago
This will never happen again,11,1 year ago
"""YOU JUST CANNOT BE THAT GOOD"" <3",3.6K,7 years ago
"Lewandowski : How many goals should I score? 
Guardiola : Yes",8.2K,4 years ago
Lost my job and came here for motivation. Impossible made possible ,6,1 month ago
"I just love how for the first and second goal, Pep stays calm and serious, riling up his team to do more, then after the third goal, the fourth and the fifth, he just loses all composure rapidly",3,1 month ago
I can't even do this in FIFA,14K,7 years ago
"This will never ever happen again. 5 goals in 9 minutes for a team is almost impossible. For it be scored by just one player after coming on as a sub and his team trailing 1-0 should really be impossible. No player would ever had even dreamed of doing something like this because its so far fetched, its literally impossible. I still dont know how this is possible. 5 goals in 90 mins by a single player is a huge achievement. 5 goals in 9 mins and that 9 mins includes celebrations, a re taken kick off and a substitution. How did he do it, its a miracle of football. And that last goal is just a worldie. This has to be the best 10 minutes any footballer in history has had. Credit to the rest of the Bayern team for creating the oppurtunities and its always a team effort but Lewandowski deserves something for this. Its an achievement that will never be bettered. Ever.",6.7K,5 years ago
Everyone's talking about Lewandowski but how about that commentator? Man he made this segment become even better,12,2 years ago
Welcome to Barcelona ,16,1 year ago
"When did FIFA graphics get so good? Btw, turn off amateur mode, it'll be more of a challenge.",3.9K,7 years ago
