Song name,Artist name,Last week rank,Peak rank,Weeks on board
Fortnight,Taylor Swift Featuring Post Malone,-,1,1
Down Bad,Taylor Swift,-,2,1
I Can Do It With A Broken Heart,Taylor Swift,-,3,1
The Tortured Poets Department,Taylor Swift,-,4,1
"So Long, London",Taylor Swift,-,5,1
My Boy Only Breaks His Favorite Toys,Taylor Swift,-,6,1
But Daddy I Love Him,Taylor Swift,-,7,1
Florida!!!,Taylor Swift Featuring Florence + The Machine,-,8,1
Who's Afraid Of Little Old Me?,Taylor Swift,-,9,1
Guilty As Sin?,Taylor Swift,-,10,1
Fresh Out The Slammer,Taylor Swift,-,11,1
loml,Taylor Swift,-,12,1
The Alchemy,Taylor Swift,-,13,1
The Smallest Man Who Ever Lived,Taylor Swift,-,14,1
Beautiful Things,Benson Boone,3,2,14
Too Sweet,Hozier,1,1,5
Like That,"Future, Metro Boomin & Kendrick Lamar",2,1,5
Lose Control,Teddy Swims,4,1,37
Push Ups,Drake,-,19,1
I Can Fix Him (No Really I Can),Taylor Swift,-,20,1
Clara Bow,Taylor Swift,-,21,1
Espresso,Sabrina Carpenter,7,7,2
thanK you aIMee,Taylor Swift,-,23,1
So High School,Taylor Swift,-,24,1
The Black Dog,Taylor Swift,-,25,1
imgonnagetyouback,Taylor Swift,-,26,1
A Bar Song (Tipsy),Shaboozey,36,27,2
Lovin On Me,Jack Harlow,6,1,24
Saturn,SZA,10,6,9
The Albatross,Taylor Swift,-,30,1
Texas Hold 'Em,Beyonce,5,1,11
The Prophecy,Taylor Swift,-,32,1
We Can't Be Friends (Wait For Your Love),Ariana Grande,8,1,7
I Hate It Here,Taylor Swift,-,34,1
How Did It End?,Taylor Swift,-,35,1
Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,-,36,1
Stick Season,Noah Kahan,9,9,30
I Like The Way You Kiss Me,Artemas,12,12,5
I Look In People's Windows,Taylor Swift,-,39,1
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,11,1,35
Cruel Summer,Taylor Swift,13,1,51
Greedy,Tate McRae,16,3,32
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",14,2,5
Cassandra,Taylor Swift,-,44,1
Agora Hills,Doja Cat,15,7,31
Peter,Taylor Swift,-,46,1
The Bolter,Taylor Swift,-,47,1
Wanna Be,GloRilla & Megan Thee Stallion,17,11,3
Get It Sexyy,Sexyy Red,23,20,6
Feather,Sabrina Carpenter,21,21,21
The Manuscript,Taylor Swift,-,51,1
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,20,1,11
FTCU,Nicki Minaj,80,15,20
Whatever She Wants,Bryson Tiller,31,19,10
Robin,Taylor Swift,-,55,1
End Of Beginning,Djo,24,11,10
Redrum,21 Savage,25,5,15
Gata Only,FloyyMenor X Cris Mj,27,27,6
Yeah Glo!,GloRilla,32,32,11
Austin,Dasha,28,28,7
Never Lose Me,Flo Milli,33,15,19
"Good Luck, Babe!",Chappell Roan,44,44,3
Act II: Date @ 8,4Batz Featuring Drake,30,7,16
Made For Me,Muni Long,35,20,15
Where It Ends,Bailey Zimmerman,38,32,17
Tell Ur Girlfriend,Lay Bankz,58,58,2
FE!N,Travis Scott Featuring Playboi Carti,45,5,25
Wild Ones,Jessie Murph & Jelly Roll,46,35,29
Slow It Down,Benson Boone,49,40,5
Cinderella,"Future, Metro Boomin & Travis Scott",37,6,5
Wildflowers And Wild Horses,Lainey Wilson,50,48,13
Hell N Back,Bakar Featuring Summer Walker,53,53,3
Back Then Right Now,Tyler Hubbard,62,62,6
Obsessed,Olivia Rodrigo,42,14,5
Get In With Me,BossMan Dlow,52,49,12
Wind Up Missin' You,Tucker Wetmore,75,75,4
Mmhmm,BigXthaPlug,63,63,18
Illusion,Dua Lipa,43,43,2
Bulletproof,Nate Smith,64,64,3
Enough (Miami),Cardi B,55,9,6
Everybody,Nicki Minaj Featuring Lil Uzi Vert,65,24,20
Scared To Start,Michael Marcagi,56,54,10
La Diabla,Xavi,57,20,19
II Most Wanted,Beyonce & Miley Cyrus,47,6,4
Cry,Benson Boone,69,60,3
Outskirts,Sam Hunt,66,66,7
Tu Name,Fuerza Regida,68,66,10
We Still Don't Trust You,"Future, Metro Boomin & The Weeknd",22,22,2
One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp",70,51,18
Let's Go,Key Glock & Young Dolph,59,59,7
23,Chayce Beckham,74,45,17
Tucson Too Late,Jordan Davis,83,80,8
Halfway To Hell,Jelly Roll,85,84,3
Praise Jah In The Moonlight,YG Marley,76,34,13
Feel It,d4vd,94,94,2
Us Vs. Them,$uicideBoy$,-,96,1
Wine Into Whiskey,Tucker Wetmore,84,77,5
Spin You Around (1/24),Morgan Wallen,89,24,13
Soak City,310babii,82,53,19
Selfish,Justin Timberlake,60,19,13
