Name,Year span,Genre,Runtime,Ratings,Votes
Game of Thrones,(2011–2019),"Action, Adventure, Drama",60 min,9.2,"2,286,090"
Stranger Things,(2016–2025),"Drama, Fantasy, Horror",60 min,8.7,"1,337,315"
The Walking Dead,(2010–2022),"Drama, Horror, Thriller",45 min,8.1,"1,082,721"
13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",60 min,7.5,"315,647"
The 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,7.6,"276,272"
Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,8,"320,265"
Riverdale,(2017–2023),"Crime, Drama, Mystery",45 min,6.5,"155,235"
Grey's Anatomy,(2005– ),"Drama, Romance",41 min,7.6,"342,006"
The Flash,(2014–2023),"Action, Adventure, Drama",43 min,7.5,"368,314"
Arrow,(2012–2020),"Action, Adventure, Crime",42 min,7.5,"446,128"
Money Heist,(2017–2021),"Action, Crime, Drama",60 min,8.2,"532,484"
The Big Bang Theory,(2007–2019),"Comedy, Romance",22 min,8.1,"868,498"
Black Mirror,(2011– ),"Drama, Mystery, Sci-Fi",60 min,8.7,"640,433"
Sherlock,(2010–2017),"Crime, Drama, Mystery",90 min,9.1,"999,302"
Vikings,(2013–2020),"Action, Adventure, Drama",45 min,8.5,"583,288"
Pretty Little Liars,(2010–2017),"Drama, Mystery, Romance",44 min,7.4,"178,418"
The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",43 min,7.7,"349,964"
American Horror Story,(2011– ),"Drama, Horror, Sci-Fi",60 min,8,"344,066"
Breaking Bad,(2008–2013),"Crime, Drama, Thriller",45 min,9.5,"2,138,200"
Lucifer,(2016–2021),"Crime, Drama, Fantasy","4,393 min",8.1,"356,166"
Supernatural,(2005–2020),"Drama, Fantasy, Horror",44 min,8.4,"483,423"
Prison Break,(2005–2017),"Action, Crime, Drama",44 min,8.3,"579,671"
How to Get Away with Murder,(2014–2020),"Crime, Drama, Mystery",43 min,8.1,"166,767"
Teen Wolf,(2011–2017),"Action, Drama, Fantasy",41 min,7.7,"163,326"
The Simpsons,(1989– ),"Animation, Comedy",22 min,8.7,"436,101"
Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",60 min,7.7,"237,116"
Narcos,(2015–2017),"Biography, Crime, Drama",50 min,8.8,"470,613"
Daredevil,(2015–2018),"Action, Crime, Drama",60 min,8.6,"474,960"
Friends,(1994–2004),"Comedy, Romance",22 min,8.9,"1,088,707"
How I Met Your Mother,(2005–2014),"Comedy, Drama, Romance","4,576 min",8.3,"728,772"
Suits,(2011–2019),"Comedy, Drama",44 min,8.4,"479,261"
Mr. Robot,(2015–2019),"Crime, Drama, Thriller",45 min,8.5,"418,479"
The Originals,(2013–2018),"Drama, Fantasy, Horror",45 min,8.3,"147,929"
Supergirl,(2015–2021),"Action, Adventure, Drama",43 min,6.2,"129,601"
Gossip Girl,(2007–2012),"Drama, Romance",42 min,7.5,"193,471"
Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",60 min,8.2,"163,078"
Gotham,(2014–2019),"Action, Crime, Drama",42 min,7.8,"240,797"
Westworld,(2016–2022),"Drama, Mystery, Sci-Fi",60 min,8.5,"533,137"
Jessica Jones,(2015–2019),"Action, Crime, Drama",56 min,7.9,"226,833"
Modern Family,(2009–2020),"Comedy, Drama, Romance",22 min,8.5,"483,931"
Rick and Morty,(2013– ),"Animation, Adventure, Comedy",23 min,9.1,"601,938"
Shadowhunters: The Mortal Instruments,(2016–2019),"Action, Drama, Fantasy",42 min,6.5,"70,590"
The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",25 min,8,"220,194"
House of Cards,(2013–2018),Drama,50 min,8.6,"531,052"
Dark,(2017–2020),"Crime, Drama, Mystery",60 min,8.7,"444,669"
Elite,(2018–2024),"Crime, Drama, Thriller",60 min,7.2,"90,820"
Sex Education,(2019–2023),"Comedy, Drama, Romance",60 min,8.3,"351,648"
Shameless,(2011–2021),"Comedy, Drama",60 min,8.5,"285,682"
New Girl,(2011–2018),"Comedy, Romance",22 min,7.8,"245,625"
Agents of S.H.I.E.L.D.,(2013–2020),"Action, Adventure, Drama",45 min,7.5,"226,032"
Game of Thrones,(2011–2019),"Action, Adventure, Drama",60 min,9.2,"2,286,090"
You,(2018–2024),"Crime, Drama, Romance",45 min,7.7,"300,009"
Stranger Things,(2016–2025),"Drama, Fantasy, Horror",60 min,8.7,"1,337,315"
Dexter,(2006–2013),"Crime, Drama, Mystery",60 min,8.6,"767,013"
The Walking Dead,(2010–2022),"Drama, Horror, Thriller",45 min,8.1,"1,082,721"
Fear the Walking Dead,(2015–2023),"Drama, Horror, Sci-Fi",44 min,6.8,"144,366"
13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",60 min,7.5,"315,647"
Family Guy,(1999– ),"Animation, Comedy",22 min,8.1,"364,433"
The 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,7.6,"276,272"
The Blacklist,(2013–2023),"Crime, Drama, Mystery",43 min,7.9,"279,734"
Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,8,"320,265"
Lost,(2004–2010),"Adventure, Drama, Fantasy","5,445 min",8.3,"595,537"
Riverdale,(2017–2023),"Crime, Drama, Mystery",45 min,6.5,"155,235"
Peaky Blinders,(2013–2022),"Crime, Drama",60 min,8.8,"650,357"
Grey's Anatomy,(2005– ),"Drama, Romance",41 min,7.6,"342,006"
House M.D.,(2004–2012),"Drama, Mystery",45 min,8.7,"513,971"
The Flash,(2014–2023),"Action, Adventure, Drama",43 min,7.5,"368,314"
Quantico,(2015–2018),"Crime, Drama, Mystery",42 min,6.7,"63,896"
Arrow,(2012–2020),"Action, Adventure, Crime",42 min,7.5,"446,128"
Orphan Black,(2013–2017),"Drama, Sci-Fi, Thriller",44 min,8.3,"117,005"
Money Heist,(2017–2021),"Action, Crime, Drama",60 min,8.2,"532,484"
Homeland,(2011–2020),"Crime, Drama, Mystery",60 min,8.3,"361,042"
The Big Bang Theory,(2007–2019),"Comedy, Romance",22 min,8.1,"868,498"
Blindspot,(2015–2020),"Action, Crime, Drama",42 min,7.3,"79,073"
Black Mirror,(2011– ),"Drama, Mystery, Sci-Fi",60 min,8.7,"640,433"
Legends of Tomorrow,(2016–2022),"Action, Adventure, Drama",42 min,6.8,"110,067"
Sherlock,(2010–2017),"Crime, Drama, Mystery",90 min,9.1,"999,302"
The Handmaid's Tale,(2017– ),"Drama, Sci-Fi, Thriller",60 min,8.4,"258,127"
Vikings,(2013–2020),"Action, Adventure, Drama",45 min,8.5,"583,288"
Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",60 min,7.4,"108,580"
Pretty Little Liars,(2010–2017),"Drama, Mystery, Romance",44 min,7.4,"178,418"
The Good Doctor,(2017–2024),Drama,41 min,8,"113,119"
The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",43 min,7.7,"349,964"
Jane the Virgin,(2014–2019),Comedy,60 min,7.9,"59,081"
American Horror Story,(2011– ),"Drama, Horror, Sci-Fi",60 min,8,"344,066"
Glee,(2009–2015),"Comedy, Drama, Music",44 min,6.8,"155,497"
Breaking Bad,(2008–2013),"Crime, Drama, Thriller",45 min,9.5,"2,138,200"
South Park,(1997– ),"Animation, Comedy",22 min,8.7,"406,097"
