Dataset name,Data Type,Task,Attribute type,No of instances,No of attributes,Year
Iris,Tabular,Classification,Real,150,4,1988
Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,13,1988
Dry Bean,Multivariate,Classification,"Integer, Real",13611,16,2020
Rice (Cammeo and Osmancik),Multivariate,Classification,Real,3810,7,2019
Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,30,1995
Raisin,Multivariate,Classification,"Real, Integer",900,7,2023
Wine,Tabular,Classification,"Integer, Real",178,13,1991
Wine Quality,Multivariate,"Classification, Regression",Real,4898,11,2009
Diabetes,"Multivariate, Time-Series",Classification,"Categorical, Integer",1,20,-
Bank Marketing,Multivariate,Classification,"Categorical, Integer",45211,16,2012
Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997
Student Performance,Multivariate,"Classification, Regression",Integer,649,30,2014
Mushroom,Multivariate,Classification,Categorical,8124,22,1987
Abalone,Tabular,"Classification, Regression","Categorical, Integer, Real",4177,8,1995
Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",541909,6,2015
Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20,1994
Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,25,1987
Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996
Breast Cancer,Multivariate,Classification,Categorical,286,9,1988
Predict Students' Dropout and Academic Success,Tabular,Classification,"Real, Categorical, Integer",4424,36,2021
Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999
Auto MPG,Multivariate,Regression,"Real, Categorical, Integer",398,7,1993
Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,9,1992
Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
Glass Identification,Multivariate,Classification,Real,214,9,1987
Default of Credit Card Clients,Multivariate,Classification,"Integer, Real",30000,23,2016
Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",-,10299,-,2012
Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,-
Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,5,1986
Online Retail II,"Multivariate, Sequential, Time-Series, Text","Classification, Regression, Clustering","Integer, Real",1067371,-,2019
Bike Sharing,Multivariate,Regression,"Integer, Real",17389,13,2013
SMS Spam Collection,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,5574,-,2012
Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64,1998
Estimation of Obesity Levels Based On Eating Habits and Physical Condition,Multivariate,"Classification, Regression, Clustering",Integer,2111,16,2019
Zoo,Multivariate,Classification,"Categorical, Integer",101,16,1990
Individual Household Electric Power Consumption,"Multivariate, Time-Series","Regression, Clustering",Real,2075259,9,2012
Online Shoppers Purchasing Intention Dataset,Multivariate,"Classification, Clustering","Integer, Real",12330,17,2018
MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,10,2007
Forest Fires,Multivariate,Regression,Real,517,12,2008
Lung Cancer,Multivariate,Classification,Integer,32,56,1992
Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998
Liver Disorders,Multivariate,Regression,"Categorical, Integer, Real",345,5,1990
Heart Failure Clinical Records,Multivariate,"Classification, Regression, Clustering","Integer, Real",299,12,2020
Diabetes 130-US Hospitals for Years 1999-2008,Multivariate,"Classification, Clustering","Categorical, Integer",101766,47,2014
Letter Recognition,Multivariate,Classification,Integer,20000,16,1990
CDC Diabetes Health Indicators,"Tabular, Multivariate",Classification,"Categorical, Integer",253680,21,2023
Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1988
Computer Hardware,Multivariate,Regression,Integer,209,10,1987
Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988
Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998
Real Estate Valuation,Multivariate,Regression,"Integer, Real",414,6,2018
Seeds,Multivariate,"Classification, Clustering",Real,210,-,2012
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,-
Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987
Energy Efficiency,Multivariate,"Classification, Regression","Integer, Real",768,8,2012
Yeast,Multivariate,Classification,Real,1484,8,1996
Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991
Seoul Bike Sharing Demand,Multivariate,Regression,"Integer, Real",8760,13,2020
Wholesale customers,Multivariate,"Classification, Clustering",Integer,440,7,2014
Chronic Kidney Disease,Multivariate,Classification,Real,400,24,2015
Concrete Compressive Strength,Multivariate,Regression,Real,1030,8,2007
Image Segmentation,Multivariate,Classification,Real,2310,19,1990
Parkinsons,Multivariate,Classification,Real,197,22,2008
AI4I 2020 Predictive Maintenance Dataset,"Multivariate, Time-Series","Classification, Regression, Causal-Discovery",Real,10000,6,2020
Apartment for Rent Classified,Multivariate,"Classification, Regression, Clustering","Categorical, Integer",10000,21,2019
Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1997
Nursery,Multivariate,Classification,Categorical,12960,8,1997
Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16,1998
Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,-
EEG Database,"Multivariate, Time-Series",Classification,"Categorical, Integer, Real",122,-,1999
Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,-
ElectricityLoadDiagrams20112014,Time-Series,"Regression, Clustering",Real,370,140256,2015
Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,33,1995
Balance Scale,Multivariate,Classification,Categorical,625,4,1994
Online News Popularity,Multivariate,"Classification, Regression","Integer, Real",39797,58,2015
Phishing Websites,Tabular,Classification,Integer,11055,30,2015
Banknote Authentication,Multivariate,Classification,Real,1372,4,2013
Twenty Newsgroups,Text,-,-,20000,-,1999
Dermatology,Multivariate,Classification,"Categorical, Integer",366,34,1997
Soybean (Large),Multivariate,Classification,Categorical,307,35,1988
Appliances Energy Prediction,"Multivariate, Time-Series",Regression,Real,19735,28,2017
Early Stage Diabetes Risk Prediction,Multivariate,Classification,"Categorical, Integer",520,16,2020
Solar Flare,Multivariate,Regression,Categorical,1389,10,1989
Communities and Crime,Multivariate,Regression,Real,1994,127,2009
Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4,2014
Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997
Productivity Prediction of Garment Employees,"Multivariate, Time-Series","Classification, Regression","Integer, Real",1197,14,2020
Movie,"Multivariate, Relational",-,-,10000,-,1999
Ecoli,Multivariate,Classification,Real,336,7,1996
Higher Education Students Performance Evaluation,Multivariate,Classification,Integer,145,31,2023
Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,-
Drug Reviews (Drugs.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,215063,6,2018
Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993
Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000,-,2000
Statlog (Shuttle),Multivariate,Classification,Integer,58000,7,-
HIGGS,-,Classification,Real,11000000,-,2014
Sentiment Labelled Sentences,Text,Classification,-,3000,-,2015
Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997
ISOLET,Multivariate,Classification,Real,7797,617,1994
KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,-,1998
Lenses,Multivariate,Classification,Categorical,24,3,1990
Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990
Drug Consumption (Quantified),Multivariate,Classification,Real,1885,12,2016
Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989
MetroPT-3 Dataset,"Tabular, Multivariate, Time-Series",Classification,Real,1516948,15,2023
CMU Face Images,Image,Classification,Integer,640,-,1999
Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,-,1990
Water Quality Prediction,Other,Regression,-,705,-,2022
Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988
Soybean (Small),Multivariate,Classification,Categorical,47,35,1986
WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series","Classification, Regression",Real,63000000,-,2018
Parkinsons Telemonitoring,Tabular,Regression,"Integer, Real",5875,19,2009
Traffic Flow Forecasting,Multivariate,Regression,-,2101,-,2021
Protein Data,-,-,-,-,-,-
Glioma Grading Clinical and Mutation Features,"Tabular, Multivariate","Classification, Other","Real, Categorical, Integer",839,23,2022
Land Mines,"Tabular, Multivariate, Other","Classification, Clustering","Real, Integer",338,3,2022
Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,10,2006
Haberman's Survival,Multivariate,Classification,Integer,306,3,1999
Statlog Project,Other,Other,-,1,-,1992
Absenteeism at work,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",740,19,2018
